Event Name,Date,Location,Type,Region,Website,Latitude,Longitude
Aryana Leon,1/25/2024,Barboza,Music,Capitol Hill / Central District,https://visitseattle.org/events/aryana-leon/,-13.248885,-41.0275842
Colorworks,1/25/2024,Nectar Lounge,Music,Fremont / Ballard,https://visitseattle.org/events/colorworks/,47.6523876,-122.3538541520202
Dar Williams,1/25/2024,The Neptune Theatre,Music,University District,https://visitseattle.org/events/dar-williams/,N/A,N/A
Deb Perelman,1/25/2024,Town Hall Seattle,Readings & Lectures,Downtown,https://visitseattle.org/events/deb-perelman/,47.6090191,-122.32993774092222
Emanuel Brown,1/25/2024,Chop Suey,Music,Capitol Hill / Central District,https://visitseattle.org/events/emanuel-brown/,-38.1828956,176.2929559
James Miles,1/25/2024,Town Hall Seattle,Readings & Lectures,Downtown,https://visitseattle.org/events/james-miles/,47.6090191,-122.32993774092222
Madeline Pendleton,1/25/2024,Elliott Bay Book Company,Readings & Lectures,Capitol Hill / Central District,https://visitseattle.org/events/madeline-pendleton/,47.6146657,-122.319677
October London,1/25/2024,The Showbox,Music,Downtown,https://visitseattle.org/events/october-london/,47.6085136,-122.3394726
Tacoma Stars vs. Empire Strykers,1/25/2024,accesso ShoWare Center,Sports,South,https://visitseattle.org/events/tacoma-stars-vs-empire-strykers/,47.38765995,-122.24000381780328
Dungeons and Drag Queens,1/26/2024,The Crocodile,Theatre,Downtown,https://visitseattle.org/events/dungeons-and-drag-queens/,47.6146474,-122.3490734
Global Rhythms: Yungchen Lhamo,1/26/2024,Town Hall Seattle,Music,Downtown,https://visitseattle.org/events/global-rhythms-yungchen-lhamo/,47.6090191,-122.32993774092222
Harlem Globetrotters 2024 World Tour –,1/26/2024,accesso ShoWare Center,Sports,South,https://visitseattle.org/events/harlem-globetrotters-2024-world-tour/,47.38765995,-122.24000381780328
Seattle Kraken vs. St. Louis Blues,1/26/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center,https://visitseattle.org/events/seattle-kraken-vs-st-louis-blues/,47.6219014,-122.353990491486
Shelf Nunny,1/26/2024,Barboza,Music,Capitol Hill / Central District,https://visitseattle.org/events/shelf-nunny/,-13.248885,-41.0275842
Super Diamond – The Neil Diamond Tribute Band,1/26/2024,The Showbox,Music,Downtown,https://visitseattle.org/events/super-diamond-the-neil-diamond-tribute-band/,47.6085136,-122.3394726
The Disorderlies,1/26/2024,Slim's Last Chance,Music,South Seattle,https://visitseattle.org/events/the-disorderlies-2/,47.5524903,-122.33389967462686
Compania Nacional de Danza,Now through 1/27/2024,Meany Center for the Performing Arts,Dance,University District,https://visitseattle.org/events/compania-nacional-de-danza/,N/A,N/A
Metropolis,Now through 1/27/2024,Benaroya Hall,Music,Downtown,https://visitseattle.org/events/metropolis/,47.60811665,-122.33697040702705
Andy Coe Band,Now through 1/27/2024,Nectar Lounge,Music,Fremont / Ballard,https://visitseattle.org/events/andy-coe-band/,47.6523876,-122.3538541520202
Harlem Globetrotters,1/27/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center,https://visitseattle.org/events/harlem-globetrotters/,47.6219014,-122.353990491486
Seattle Thunderbirds vs. Everett Silvertips,1/27/2024,accesso ShoWare Center,Sports,South,https://visitseattle.org/events/seattle-thunderbirds-vs-everett-silvertips-2/,47.38765995,-122.24000381780328
The Budos Band,1/27/2024,The Showbox,Music,Downtown,https://visitseattle.org/events/the-budos-band/,47.6085136,-122.3394726
The Human Family,1/27/2024,Opera Center,Music,Queen Anne / Seattle Center,https://visitseattle.org/events/the-human-family/,44.43358325,26.079138268508792
Steinunn Porarinsdottir: Wayfinders,Now through 1/28/2024,National Nordic Museum,Museums,Fremont / Ballard,https://visitseattle.org/events/steinunn-porarinsdottir-wayfinders/,47.6683615,-122.39177949359151
Hanako O’Leary: Izanami,Now through 1/28/2024,Frye Art Museum,Museums,Capitol Hill / Central District,https://visitseattle.org/events/hanako-oleary-izanami/,47.60719095,-122.32405377084555
Gage Alumni Show,Now through 1/28/2024,Fountainhead Gallery,Visual Arts & Galleries,Queen Anne / Seattle Center,https://visitseattle.org/events/gage-alumni-show/,28.1110963,-80.6740045
Bohemia,Now through 1/28/2024,The Triple Door,Theatre,Downtown,https://visitseattle.org/events/bohemia/,47.6086439,-122.337685
Lee Ritenour and Dave Grusin,Now through 1/28/2024,Dimitriou's Jazz Alley,Music,Downtown,https://visitseattle.org/events/lee-ritenour-and-dave-grusin/,47.6148163,-122.339691
Celebrate Asia,1/28/2024,Benaroya Hall,Music,Downtown,https://visitseattle.org/events/celebrate-asia/,47.60811665,-122.33697040702705
Family Day with Birds Connect Seattle,1/28/2024,National Nordic Museum,Museums,Fremont / Ballard,https://visitseattle.org/events/family-day-with-birds-connect-seattle/,47.6683615,-122.39177949359151
Seattle Kraken vs. Columbus Blue Jackets,1/28/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center,https://visitseattle.org/events/seattle-kraken-vs-columbus-blue-jackets/,47.6219014,-122.353990491486
Tacoma Stars vs. San Diego Sockers,1/28/2024,accesso ShoWare Center,Sports,South,https://visitseattle.org/events/tacoma-stars-vs-san-diego-sockers-3/,47.38765995,-122.24000381780328
Adira Sharkey,1/29/2024,Tractor Tavern,Music,Fremont / Ballard,https://visitseattle.org/events/adira-sharkey/,47.6657081,-122.38280295082915
"Car, The Garden",1/29/2024,The Crocodile,Music,Downtown,https://visitseattle.org/events/car-the-garden/,47.6146474,-122.3490734
Cheryl Wheeler,1/30/2024,The Triple Door,Music,Downtown,https://visitseattle.org/events/cheryl-wheeler/,47.6086439,-122.337685
Giantish,1/30/2024,High Dive,Music,Fremont / Ballard,https://visitseattle.org/events/giantish/,41.7111625,-93.6318959
Seattle Thunderbirds vs. Prince George Cougars,1/30/2024,accesso ShoWare Center,Sports,South,https://visitseattle.org/events/seattle-thunderbirds-vs-prince-george-cougars-2/,47.38765995,-122.24000381780328
A/political Rocks,Now through 1/31/2024,Henry Art Gallery,Museums,University District,https://visitseattle.org/events/a-political-rocks/,47.6565246,-122.31173279895636
Sophia Al-Maria,Now through 1/31/2024,Henry Art Gallery,Museums,University District,https://visitseattle.org/events/sophia-al-maria/,47.6565246,-122.31173279895636
Jahari Stampley,1/30/2024 through 1/31/2024,Dimitriou's Jazz Alley,Music,Downtown,https://visitseattle.org/events/jahari-stampley/,47.6148163,-122.339691
FRAKTURED: Home of the Broken Beat,1/31/2024,High Dive,Music,Fremont / Ballard,https://visitseattle.org/events/fraktured-home-of-the-broken-beat/,41.7111625,-93.6318959
G3- 25th Anniversary reunion,1/31/2024,The Moore Theatre,Music,Downtown,https://visitseattle.org/events/g3-25th-anniversary-reunion/,42.2896932,-83.7207314
