Event Name,Date,Location,Type,Region,Website
Aryana Leon,1/25/2024,Barboza,Music,Capitol Hill / Central District,https://visitseattle.org/events/aryana-leon/
Colorworks,1/25/2024,Nectar Lounge,Music,Fremont / Ballard,https://visitseattle.org/events/colorworks/
Dar Williams,1/25/2024,The Neptune Theatre,Music,University District,https://visitseattle.org/events/dar-williams/
Deb Perelman,1/25/2024,Town Hall Seattle,Readings & Lectures,Downtown,https://visitseattle.org/events/deb-perelman/
Emanuel Brown,1/25/2024,Chop Suey,Music,Capitol Hill / Central District,https://visitseattle.org/events/emanuel-brown/
James Miles,1/25/2024,Town Hall Seattle,Readings & Lectures,Downtown,https://visitseattle.org/events/james-miles/
Madeline Pendleton,1/25/2024,Elliott Bay Book Company,Readings & Lectures,Capitol Hill / Central District,https://visitseattle.org/events/madeline-pendleton/
October London,1/25/2024,The Showbox,Music,Downtown,https://visitseattle.org/events/october-london/
Tacoma Stars vs. Empire Strykers,1/25/2024,accesso ShoWare Center,Sports,South,https://visitseattle.org/events/tacoma-stars-vs-empire-strykers/
Dungeons and Drag Queens,1/26/2024,The Crocodile,Theatre,Downtown,https://visitseattle.org/events/dungeons-and-drag-queens/
Global Rhythms: Yungchen Lhamo,1/26/2024,Town Hall Seattle,Music,Downtown,https://visitseattle.org/events/global-rhythms-yungchen-lhamo/
Harlem Globetrotters 2024 World Tour –,1/26/2024,accesso ShoWare Center,Sports,South,https://visitseattle.org/events/harlem-globetrotters-2024-world-tour/
Seattle Kraken vs. St. Louis Blues,1/26/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center,https://visitseattle.org/events/seattle-kraken-vs-st-louis-blues/
Shelf Nunny,1/26/2024,Barboza,Music,Capitol Hill / Central District,https://visitseattle.org/events/shelf-nunny/
Super Diamond – The Neil Diamond Tribute Band,1/26/2024,The Showbox,Music,Downtown,https://visitseattle.org/events/super-diamond-the-neil-diamond-tribute-band/
The Disorderlies,1/26/2024,Slim's Last Chance,Music,South Seattle,https://visitseattle.org/events/the-disorderlies-2/
Compania Nacional de Danza,Now through 1/27/2024,Meany Center for the Performing Arts,Dance,University District,https://visitseattle.org/events/compania-nacional-de-danza/
Metropolis,Now through 1/27/2024,Benaroya Hall,Music,Downtown,https://visitseattle.org/events/metropolis/
Andy Coe Band,Now through 1/27/2024,Nectar Lounge,Music,Fremont / Ballard,https://visitseattle.org/events/andy-coe-band/
Harlem Globetrotters,1/27/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center,https://visitseattle.org/events/harlem-globetrotters/
Seattle Thunderbirds vs. Everett Silvertips,1/27/2024,accesso ShoWare Center,Sports,South,https://visitseattle.org/events/seattle-thunderbirds-vs-everett-silvertips-2/
The Budos Band,1/27/2024,The Showbox,Music,Downtown,https://visitseattle.org/events/the-budos-band/
The Human Family,1/27/2024,Opera Center,Music,Queen Anne / Seattle Center,https://visitseattle.org/events/the-human-family/
Steinunn Porarinsdottir: Wayfinders,Now through 1/28/2024,National Nordic Museum,Museums,Fremont / Ballard,https://visitseattle.org/events/steinunn-porarinsdottir-wayfinders/
Hanako O’Leary: Izanami,Now through 1/28/2024,Frye Art Museum,Museums,Capitol Hill / Central District,https://visitseattle.org/events/hanako-oleary-izanami/
Gage Alumni Show,Now through 1/28/2024,Fountainhead Gallery,Visual Arts & Galleries,Queen Anne / Seattle Center,https://visitseattle.org/events/gage-alumni-show/
Bohemia,Now through 1/28/2024,The Triple Door,Theatre,Downtown,https://visitseattle.org/events/bohemia/
Lee Ritenour and Dave Grusin,Now through 1/28/2024,Dimitriou's Jazz Alley,Music,Downtown,https://visitseattle.org/events/lee-ritenour-and-dave-grusin/
Celebrate Asia,1/28/2024,Benaroya Hall,Music,Downtown,https://visitseattle.org/events/celebrate-asia/
Family Day with Birds Connect Seattle,1/28/2024,National Nordic Museum,Museums,Fremont / Ballard,https://visitseattle.org/events/family-day-with-birds-connect-seattle/
Seattle Kraken vs. Columbus Blue Jackets,1/28/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center,https://visitseattle.org/events/seattle-kraken-vs-columbus-blue-jackets/
Tacoma Stars vs. San Diego Sockers,1/28/2024,accesso ShoWare Center,Sports,South,https://visitseattle.org/events/tacoma-stars-vs-san-diego-sockers-3/
Adira Sharkey,1/29/2024,Tractor Tavern,Music,Fremont / Ballard,https://visitseattle.org/events/adira-sharkey/
"Car, The Garden",1/29/2024,The Crocodile,Music,Downtown,https://visitseattle.org/events/car-the-garden/
Cheryl Wheeler,1/30/2024,The Triple Door,Music,Downtown,https://visitseattle.org/events/cheryl-wheeler/
Giantish,1/30/2024,High Dive,Music,Fremont / Ballard,https://visitseattle.org/events/giantish/
Seattle Thunderbirds vs. Prince George Cougars,1/30/2024,accesso ShoWare Center,Sports,South,https://visitseattle.org/events/seattle-thunderbirds-vs-prince-george-cougars-2/
A/political Rocks,Now through 1/31/2024,Henry Art Gallery,Museums,University District,https://visitseattle.org/events/a-political-rocks/
Sophia Al-Maria,Now through 1/31/2024,Henry Art Gallery,Museums,University District,https://visitseattle.org/events/sophia-al-maria/
Jahari Stampley,1/30/2024 through 1/31/2024,Dimitriou's Jazz Alley,Music,Downtown,https://visitseattle.org/events/jahari-stampley/
FRAKTURED: Home of the Broken Beat,1/31/2024,High Dive,Music,Fremont / Ballard,https://visitseattle.org/events/fraktured-home-of-the-broken-beat/
G3- 25th Anniversary reunion,1/31/2024,The Moore Theatre,Music,Downtown,https://visitseattle.org/events/g3-25th-anniversary-reunion/
JP Saxe,1/31/2024,The Showbox,Music,Downtown,https://visitseattle.org/events/jp-saxe/
Los Lobos,1/31/2024,The Triple Door,Music,Downtown,https://visitseattle.org/events/los-lobos/
BabyTron,2/1/2024,The Showbox,Music,Downtown,https://visitseattle.org/events/babytron/
Catalyzing Change with Akuyea Karen Vargas,2/1/2024,Bainbridge Island Museum of Art,Readings & Lectures,West,https://visitseattle.org/events/catalyzing-change-with-akuyea-karen-vargas/
Jamila Woods,2/1/2024,Neumos,Music,Capitol Hill / Central District,https://visitseattle.org/events/jamila-woods/
Jazz is Dead: Blue Note 85,2/1/2024,The Neptune Theatre,Music,University District,https://visitseattle.org/events/jazz-is-dead-blue-note-85/
